0.5,234,541,847,1152,1446,1739,2024,2309,2587,2865,3143,2.25,2.5
1,214,504,789,1074,1351,1627,1899,2171,2442,2713,2984,,
1.125,215,507,791,1074,1350,1626,1912,2198,2458,2717,2977,,
1.25,215,505,790,1075,1350,1624,1928,2231,2482,2732,2983,,
1.375,220,512,797,1082,1363,1644,1936,2228,2495,2761,3027,,
1.5,226,514,804,1093,1376,1659,1942,2224,2507,2790,3073,,
1.625,223,519,811,1102,1388,1674,1959,2243,2529,2815,3101,,
1.75,222,518,814,1109,1396,1682,1969,2255,2544,2832,3120,,
1.875,219,517,813,1108,1397,1685,1973,2261,2553,2845,3137,,
2,218,516,810,1104,1397,1689,1977,2265,2559,2852,3146,,
2.125,212,510,807,1103,1393,1683,1973,2263,2558,2853,3148,,
2.25,207,509,804,1098,1389,1680,1970,2259,2556,2852,3149,,
2.375,205,499,793,1086,1377,1668,1958,2247,2545,2843,3140,,
2.5,200,493,784,1075,1365,1655,1944,2232,2530,2827,3124,,
2.625,192,479,766,1053,1339,1625,1913,2201,2499,2797,3095,,
2.75,181,465,745,1025,1310,1595,1879,2163,2460,2756,3052,,
2.875,164,436,705,973,1252,1531,1809,2086,2382,2677,2972,,
3,138,401,656,910,1182,1453,1726,1999,2291,2582,2873,,
3.125,0,0,0,0,0,0,0,0,0,0,0,,
