0.5,353.5,743,1133,1522,1880,2238,2588,2938,3320,3702,4084,2,2.25
1,336.5,709,1082,1454,1802,2150,2494,2837,3219,3600,3982,,
1.125,336,709,1082,1455,1804,2153,2499,2844,3228,3612,3996,,
1.25,334.5,708,1082,1455,1806,2156,2504,2851,3238,3624,4011,,
1.375,333,707,1082,1456,1808,2160,2510,2859,3249,3638,4027,,
1.5,330.5,706,1082,1457,1810,2163,2515,2867,3259,3651,4043,,
1.625,327,703,1079,1455,1808,2161,2514,2866,3258,3650,4041,,
1.75,324,700,1076,1452,1806,2159,2512,2865,3257,3648,4040,,
1.875,317,691,1065,1439,1791,2143,2494,2845,3236,3626,4017,,
2,310,682,1054,1426,1776,2126,2476,2825,3215,3604,3994,,
2.125,300,666,1032,1398,1746,2093,2441,2788,3177,3566,3954,,
2.25,290,650,1010,1370,1715,2059,2405,2751,3139,3527,3915,,
2.375,278,629,980,1330,1668,2006,2348,2690,3076,3462,3848,,
2.5,265.5,607,949,1290,1622,1953,2291,2629,3013,3397,3781,,
2.625,244,570,896,1221,1544,1866,2198,2530,2910,3290,3670,,
2.75,222,532,842,1152,1465,1778,2105,2431,2807,3183,3559,,
2.875,174,460,747,1033,1332,1630,1948,2266,2634,3002,3369,,
3,125,388,651,914,1198,1482,1792,2101,2461,2820,3180,,
3.125,77,316,556,795,1065,1334,1635,1936,2288,2639,2990,,
3.25,0,0,0,0,0,0,0,0,0,0,0,,
